"用户号","机顶盒设备号","节目名称","节目ID","观看次数","分类","二级目录","分类名称","二级目录ID","分类名称ID","观看时长","点播日期","最早观看时间","最近观看时间","观看时间跨度","语种","地区","时间跨度","使用时长","总观看时长"
"10003","10198","那年花开月正圆","1875","6","精彩点/大陆剧场","精彩点","大陆剧场","2","11","300",,"2017-09-06 13:05","2017-09-12 14:36","523860.000000","国语","大陆","6283140.000000","7831860.000000","33480"
"10004","11186","分裂","300","1","院线大片","院线大片",,"5","0","0","20170716","2017-07-16 00:00","2017-07-16 00:00","0.000000",,,"0.000000","2851200.000000","7125.22"
"10004","11186","破冰船","1477","1","精彩点/动作","精彩点","动作","2","15","7125.22","20170716","2017-07-16 00:00","2017-07-16 00:00","0.000000","其他","其他国家","0.000000","2851200.000000","7125.22"
"10004","11186","逆时营救","1861","1","院线大片","院线大片",,"5","0","0","20170818","2017-08-18 00:00","2017-08-18 00:00","0.000000",,,"2851200.000000","2851200.000000","7125.22"
"10007","10469","72家房客：黑斗黑","23","1","免费睇","免费睇",,"4","0","900",,"2017-08-31 16:08","2017-08-31 16:08","0.000000",,,"0.000000","0.000000","900"
"10012","10149","三生三世十里桃花","92","34","精彩点/大陆剧场","精彩点","大陆剧场","2","11","39393.25",,"2017-07-02 09:49","2017-08-09 20:30","3321660.000000","国语","大陆","3357000.000000","7603200.000000","64252.759999999995"
"10012","10149","巧虎来啦","702","4","少儿乐园","少儿乐园",,"3","0","60","20170711","2017-07-11 00:00","2017-07-11 00:00","0.000000",,,"777600.000000","7603200.000000","64252.759999999995"
"10012","10149","幽游白书","723","3","动漫剧场/日韩剧场","动漫剧场","日韩剧场","6","16","1810.1","20170702","2017-07-02 00:00","2017-07-02 00:00","0.000000","日语","日本","0.000000","7603200.000000","64252.759999999995"
"10012","10149","海底小纵队","1220","2","动漫剧场/大陆剧场","动漫剧场","大陆剧场","6","11","2101.24","20170903","2017-09-03 00:00","2017-09-03 00:00","0.000000","国语","大陆","5443200.000000","7603200.000000","64252.759999999995"
"10012","10149","甜果屋宣传汇总170613","1407","1","免费睇/广告","免费睇","广告","4","14","120",,"2017-07-11 21:27","2017-07-11 21:27","0.000000","国语","大陆","854820.000000","7603200.000000","64252.759999999995"
"10012","10149","蓝精灵：寻找神秘村","1684","2","院线大片/动画片","院线大片","动画片","5","18","10017.11","20170704","2017-07-04 00:00","2017-07-04 00:00","0.000000","英语","美国","172800.000000","7603200.000000","64252.759999999995"
"10012","10149","醉玲珑","1887","17","精彩点/大陆剧场","精彩点","大陆剧场","2","11","2940",,"2017-07-29 09:54","2017-09-24 19:15","4958460.000000","国语","大陆","7326900.000000","7603200.000000","64252.759999999995"
"10012","10149","银河护卫队2","1928","1","院线大片/科幻","院线大片","科幻","5","17","7811.06","20170928","2017-09-28 00:00","2017-09-28 00:00","0.000000","英语","美国","7603200.000000","7603200.000000","64252.759999999995"
"10018","10412","101斑点狗2伦敦大冒险","3","1","精彩点","精彩点",,"2","0","4080",,"2017-07-15 11:28","2017-07-15 11:28","0.000000",,,"1108740.000000","7705140.000000","83340"
"10018","10412","中国新歌声 第二季：周董自曝撩妹套路","114","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","420",,"2017-08-12 14:16","2017-08-12 14:16","0.000000","国语","大陆","3538020.000000","7705140.000000","83340"
"10018","10412","九层妖塔","141","2","精彩点","精彩点",,"2","0","240",,"2017-07-15 11:24","2017-07-15 11:24","0.000000",,,"1108500.000000","7705140.000000","83340"
"10018","10412","使徒行者2","234","7","精彩点/港台剧场","精彩点","港台剧场","2","20","2520",,"2017-09-29 16:25","2017-09-29 19:48","12180.000000","粤语","香港","7705140.000000","7705140.000000","83340"
"10018","10412","冰河世纪2","286","4","热点专题","热点专题",,"1","0","4320",,"2017-07-23 11:48","2017-09-26 10:47","5612340.000000",,,"7413480.000000","7705140.000000","83340"
"10018","10412","冰河世纪3","287","6","热点专题","热点专题",,"1","0","2640",,"2017-07-23 13:00","2017-09-26 12:31","5614260.000000",,,"7419720.000000","7705140.000000","83340"
"10018","10412","变形金刚2","387","4","热点专题","热点专题",,"1","0","2640",,"2017-09-27 14:01","2017-09-27 15:00","3540.000000",,,"7515060.000000","7705140.000000","83340"
"10018","10412","变形金刚3","388","1","精彩点","精彩点",,"2","0","11640",,"2017-07-02 15:29","2017-07-02 15:29","0.000000",,,"0.000000","7705140.000000","83340"
"10018","10412","变种章鲨","393","2","精彩点","精彩点",,"2","0","240",,"2017-07-15 11:21","2017-07-15 11:21","0.000000",,,"1108320.000000","7705140.000000","83340"
"10018","10412","同盟","415","16","精彩点/港台剧场","精彩点","港台剧场","2","20","2460",,"2017-08-22 14:16","2017-09-08 12:12","1461360.000000","粤语","香港","5863380.000000","7705140.000000","83340"
"10018","10412","哈利波特1：神秘的魔法石","455","1","精彩点","精彩点",,"2","0","2580",,"2017-09-21 11:04","2017-09-21 11:04","0.000000",,,"6982500.000000","7705140.000000","83340"
"10018","10412","哈利波特2：消失的密室","456","1","精彩点","精彩点",,"2","0","3840",,"2017-07-08 12:49","2017-07-08 12:49","0.000000",,,"508800.000000","7705140.000000","83340"
"10018","10412","哈利波特消失的密室","463","1","精彩点","精彩点",,"2","0","3840",,"2017-07-08 12:49","2017-07-08 12:49","0.000000",,,"508800.000000","7705140.000000","83340"
"10018","10412","城寨英雄","501","5","精彩点","精彩点",,"2","0","840",,"2017-07-28 18:20","2017-09-27 10:59","5243940.000000",,,"7500600.000000","7705140.000000","83340"
"10018","10412","天空之眼","557","2","精彩点","精彩点",,"2","0","180",,"2017-09-12 19:24","2017-09-12 19:24","0.000000",,,"6234900.000000","7705140.000000","83340"
"10018","10412","奔跑吧兄弟 第二季","570","3","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","1020",,"2017-08-29 17:15","2017-08-29 18:25","4200.000000","国语","大陆","5021760.000000","7705140.000000","83340"
"10018","10412","奔跑吧：Baby感动回归","571","1","精彩点","精彩点",,"2","0","240",,"2017-08-30 09:10","2017-08-30 09:10","0.000000",,,"5074860.000000","7705140.000000","83340"
"10018","10412","嫁到这世界边端","603","13","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","1080",,"2017-09-14 23:58","2017-09-25 17:09","925860.000000","粤语","香港","7350000.000000","7705140.000000","83340"
"10018","10412","寻龙诀","661","2","热点专题","热点专题",,"1","0","5220",,"2017-08-29 13:41","2017-08-29 13:41","0.000000",,,"5004720.000000","7705140.000000","83340"
"10018","10412","射雕英雄传","663","26","精彩点/大陆剧场","精彩点","大陆剧场","2","11","3000",,"2017-07-23 11:34","2017-09-02 13:12","3548280.000000","国语","大陆","5348580.000000","7705140.000000","83340"
"10018","10412","心理追凶","761","2","精彩点/港台剧场","精彩点","港台剧场","2","20","960",,"2017-07-28 18:35","2017-07-28 18:40","300.000000","粤语","大陆","2257860.000000","7705140.000000","83340"
"10018","10412","敢死队3","936","2","精彩点","精彩点",,"2","0","720",,"2017-09-12 19:26","2017-09-12 19:26","0.000000",,,"6235020.000000","7705140.000000","83340"
"10018","10412","明日世界","1005","1","精彩点/科幻","精彩点","科幻","2","17","180",,"2017-08-02 11:06","2017-08-02 11:06","0.000000","国语","美国","2662620.000000","7705140.000000","83340"
"10018","10412","暮光之城3：月蚀","1031","2","精彩点","精彩点",,"2","0","840",,"2017-09-17 19:15","2017-09-17 19:15","0.000000",,,"6666360.000000","7705140.000000","83340"
"10018","10412","机动战士钢弹UC","1053","2","热点专题","热点专题",,"1","0","540",,"2017-07-18 10:30","2017-07-18 10:30","0.000000",,,"1364460.000000","7705140.000000","83340"
"10018","10412","火星情报局 第二季","1253","6","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","3360",,"2017-07-15 14:08","2017-09-26 13:20","6304320.000000","国语","大陆","7422660.000000","7705140.000000","83340"
"10018","10412","狮子王","1360","2","热点专题","热点专题",,"1","0","2760",,"2017-09-14 10:36","2017-09-14 10:36","0.000000",,,"6376020.000000","7705140.000000","83340"
"10018","10412","生化危机2：启示录","1411","2","热点专题","热点专题",,"1","0","2580",,"2017-09-27 16:57","2017-09-27 16:57","0.000000",,,"7522080.000000","7705140.000000","83340"
"10018","10412","生化危机3：灭绝","1412","6","热点专题","热点专题",,"1","0","2100",,"2017-09-27 11:08","2017-09-27 13:41","9180.000000",,,"7510320.000000","7705140.000000","83340"
"10018","10412","痞子英雄2黎明升起","1432","2","热点专题","热点专题",,"1","0","660",,"2017-09-03 12:05","2017-09-03 12:05","0.000000",,,"5430960.000000","7705140.000000","83340"
"10018","10412","神枪手","1502","2","精彩点","精彩点",,"2","0","2520",,"2017-07-18 10:39","2017-07-18 10:39","0.000000",,,"1365000.000000","7705140.000000","83340"
"10018","10412","自然：黑曼巴蛇-夺命之吻","1633","1","精彩点/科学教育","精彩点","科学教育","2","22","1200",,"2017-07-02 18:45","2017-07-02 18:45","0.000000","国语","大陆","11760.000000","7705140.000000","83340"
"10018","10412","超时空男臣","1785","7","精彩点/港台剧场","精彩点","港台剧场","2","20","1560",,"2017-08-21 23:47","2017-08-23 13:55","137280.000000","粤语","香港","4487160.000000","7705140.000000","83340"
"10018","10412","踩过界","1828","4","精彩点/港台剧场","精彩点","港台剧场","2","20","2640",,"2017-08-27 10:25","2017-09-14 21:52","1596420.000000","粤语","香港","6416580.000000","7705140.000000","83340"
"10018","10412","迷","1851","3","精彩点/港台剧场","精彩点","港台剧场","2","20","600",,"2017-07-11 10:11","2017-07-12 10:51","88800.000000","粤语","香港","847320.000000","7705140.000000","83340"
"10018","10412","钢铁侠3","1922","2","热点专题","热点专题",,"1","0","2520",,"2017-09-08 10:32","2017-09-08 11:14","2520.000000",,,"5859900.000000","7705140.000000","83340"
"10018","10412","饥饿游戏","2041","1","精彩点","精彩点",,"2","0","300",,"2017-09-27 11:03","2017-09-27 11:03","0.000000",,,"7500840.000000","7705140.000000","83340"
"10018","10412","龙珠Z：复活的弗利萨","2105","2","热点专题/动画片","热点专题","动画片","1","18","4260",,"2017-09-14 11:22","2017-09-14 11:22","0.000000","日语","日本","6378780.000000","7705140.000000","83340"
"10019","10477","旅途的花样：李治廷回归被美女放倒","961","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","2460",,"2017-07-11 21:45","2017-07-11 21:45","0.000000","国语","大陆","888540.000000","1764180.000000","8280"
"10019","10477","楚乔传","1163","53","精彩点/大陆剧场","精彩点","大陆剧场","2","11","2880",,"2017-07-12 22:30","2017-07-17 23:40","436200.000000","国语","大陆","1413840.000000","1764180.000000","8280"
"10019","10477","深夜食堂","1226","21","精彩点/大陆剧场","精彩点","大陆剧场","2","11","600",,"2017-07-01 14:56","2017-07-22 00:59","1764180.000000","国语","大陆","1764180.000000","1764180.000000","8280"
"10019","10477","赌城群英会","1771","7","精彩点/港台剧场","精彩点","港台剧场","2","20","2340",,"2017-07-02 18:08","2017-07-10 23:35","710820.000000","粤语","香港","808740.000000","1764180.000000","8280"
"10025","10114","海底小纵队","1220","1","动漫剧场/大陆剧场","动漫剧场","大陆剧场","6","11","1381.24","20170901","2017-09-01 00:00","2017-09-01 00:00","0.000000","国语","大陆","0.000000","0.000000","1381.24"
"10026","10332","使徒行者2","234","2","精彩点/港台剧场","精彩点","港台剧场","2","20","2520",,"2017-09-21 11:37","2017-09-21 12:07","1800.000000","粤语","香港","5010120.000000","5621220.000000","15720"
"10026","10332","同盟","415","4","精彩点/港台剧场","精彩点","港台剧场","2","20","120",,"2017-09-02 13:02","2017-09-02 13:04","120.000000","粤语","香港","3371940.000000","5621220.000000","15720"
"10026","10332","我的前半生","877","1","精彩点/大陆剧场","精彩点","大陆剧场","2","11","720",,"2017-07-25 13:03","2017-07-25 13:03","0.000000","国语","大陆","2280.000000","5621220.000000","15720"
"10026","10332","极限挑战 第一季20150614期","1102","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","6120",,"2017-07-30 09:44","2017-07-30 09:44","0.000000","国语","大陆","422340.000000","5621220.000000","15720"
"10026","10332","极限挑战 第三季：孙红雷智斗大妈 张艺兴进化小狐狸","1118","1","精彩点","精彩点",,"2","0","2220",,"2017-07-25 12:25","2017-07-25 12:25","0.000000",,,"0.000000","5621220.000000","15720"
"10026","10332","老表，毕业喇！","1595","1","精彩点/港台剧场","精彩点","港台剧场","2","20","120",,"2017-09-28 13:52","2017-09-28 13:52","0.000000","粤语","香港","5621220.000000","5621220.000000","15720"
"10026","10332","赌城群英会","1771","2","精彩点/港台剧场","精彩点","港台剧场","2","20","2100",,"2017-08-05 09:40","2017-08-12 10:45","608700.000000","粤语","香港","1549200.000000","5621220.000000","15720"
"10026","10332","超时空男臣","1785","4","精彩点/港台剧场","精彩点","港台剧场","2","20","1680",,"2017-08-05 10:27","2017-08-12 10:15","604080.000000","粤语","香港","1547400.000000","5621220.000000","15720"
"10026","10332","阿妈教落食平D","1940","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","120",,"2017-08-05 10:23","2017-08-05 10:23","0.000000","粤语","香港","943080.000000","5621220.000000","15720"
"10039","11205","奔跑吧：Baby感动回归","571","1","精彩点","精彩点",,"2","0","3480",,"2017-07-29 13:21","2017-07-29 13:21","0.000000",,,"0.000000","3664140.000000","6060"
"10039","11205","秦时丽人明月心","1515","1","精彩点/大陆剧场","精彩点","大陆剧场","2","11","2580",,"2017-09-09 23:10","2017-09-09 23:10","0.000000","国语","大陆","3664140.000000","3664140.000000","6060"
"10050","10029","盲约","1448","5","精彩点/大陆剧场","精彩点","大陆剧场","2","11","1980",,"2017-09-15 19:22","2017-09-16 20:52","91800.000000","国语","大陆","91800.000000","91800.000000","1980"
"10051","10079","中餐厅：周冬雨晋级“真主厨”","126","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","1320",,"2017-09-08 20:39","2017-09-08 20:39","0.000000","国语","大陆","6044400.000000","6044400.000000","45660"
"10051","10079","中餐厅：泰国Mike携友惊喜来袭","130","2","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","6300",,"2017-08-20 17:44","2017-08-26 20:57","529980.000000","国语","大陆","4922280.000000","6044400.000000","45660"
"10051","10079","地心营救","490","2","精彩点","精彩点",,"2","0","6780",,"2017-07-15 20:37","2017-07-15 20:37","0.000000",,,"1292280.000000","6044400.000000","45660"
"10051","10079","开心剧乐部：印小天遭套路吓傻","728","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","3240",,"2017-09-02 19:52","2017-09-02 19:52","0.000000","国语","大陆","5523180.000000","6044400.000000","45660"
"10051","10079","极速前进 第四季：范爷率组霸气夺冠","1097","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","6240",,"2017-08-20 19:29","2017-08-20 19:29","0.000000","国语","大陆","4398600.000000","6044400.000000","45660"
"10051","10079","灰姑娘","1257","2","精彩点","精彩点",,"2","0","18420",,"2017-08-20 12:36","2017-08-20 12:36","0.000000",,,"4373820.000000","6044400.000000","45660"
"10051","10079","白鹿原","1440","46","精彩点/大陆剧场","精彩点","大陆剧场","2","11","2400",,"2017-06-30 21:39","2017-07-08 20:39","687600.000000","国语","大陆","687600.000000","6044400.000000","45660"
"10051","10079","驴得水","2052","2","精彩点/喜剧","精彩点","喜剧","2","23","960",,"2017-07-16 15:23","2017-07-16 15:23","0.000000","国语","大陆","1359840.000000","6044400.000000","45660"
"10055","10157","夺命海怪","566","2","精彩点","精彩点",,"2","0","12060",,"2017-08-13 13:10","2017-08-13 13:10","0.000000",,,"3605520.000000","4232040.000000","121860"
"10055","10157","奔跑吧兄弟 第二季","570","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","1680",,"2017-08-12 19:08","2017-08-12 19:08","0.000000","国语","大陆","3540600.000000","4232040.000000","121860"
"10055","10157","宝莱坞机器人之恋","617","2","热点专题","热点专题",,"1","0","8040",,"2017-07-11 18:29","2017-07-11 18:29","0.000000",,,"773460.000000","4232040.000000","121860"
"10055","10157","小屁孩日记3","673","2","精彩点","精彩点",,"2","0","1020",,"2017-08-20 19:12","2017-08-20 19:12","0.000000",,,"4232040.000000","4232040.000000","121860"
"10055","10157","憨豆先生的大灾难","820","2","精彩点","精彩点",,"2","0","3240",,"2017-07-04 18:42","2017-07-04 18:42","0.000000",,,"169440.000000","4232040.000000","121860"
"10055","10157","普罗米修斯","1023","2","精彩点","精彩点",,"2","0","42780",,"2017-07-28 20:34","2017-07-28 20:34","0.000000",,,"2249760.000000","4232040.000000","121860"
"10055","10157","机械师","1063","1","精彩点","精彩点",,"2","0","5160",,"2017-07-28 19:08","2017-07-28 19:08","0.000000",,,"2244600.000000","4232040.000000","121860"
"10055","10157","永不失败的国家","1201","2","精彩点","精彩点",,"2","0","120",,"2017-08-04 11:01","2017-08-04 11:01","0.000000",,,"2820180.000000","4232040.000000","121860"
"10055","10157","爱情公寓三","1311","27","热点专题","热点专题",,"1","0","300",,"2017-07-31 12:05","2017-08-18 11:55","1554600.000000",,,"4033020.000000","4232040.000000","121860"
"10055","10157","特种部队：眼镜蛇的崛起","1356","14","精彩点","精彩点",,"2","0","540",,"2017-07-02 19:38","2017-07-04 12:29","147060.000000",,,"147060.000000","4232040.000000","121860"
"10055","10157","神偷奶爸2","1488","2","热点专题","热点专题",,"1","0","5580",,"2017-07-27 18:44","2017-07-27 18:44","0.000000",,,"2156760.000000","4232040.000000","121860"
"10055","10157","超级鲨大战机器鲨","1797","2","精彩点","精彩点",,"2","0","4260",,"2017-08-13 11:59","2017-08-13 11:59","0.000000",,,"3601260.000000","4232040.000000","121860"
"10055","10157","道格拉：吸血鬼","1872","2","精彩点","精彩点",,"2","0","3120",,"2017-08-16 17:38","2017-08-16 17:38","0.000000",,,"3880800.000000","4232040.000000","121860"
"10055","10157","金星秀：“鼓励教育”过头闹悲剧","1894","1","精彩点","精彩点",,"2","0","2220",,"2017-08-07 11:49","2017-08-07 11:49","0.000000",,,"3082260.000000","4232040.000000","121860"
"10055","10157","金星秀：吴越饰演第三者被骂惨","1897","2","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","1320",,"2017-08-05 19:13","2017-08-06 12:17","61440.000000","国语","大陆","2997540.000000","4232040.000000","121860"
"10055","10157","金星秀：小南爆料-金星羞于启齿的暗恋","1898","1","精彩点","精彩点",,"2","0","2100",,"2017-08-07 12:26","2017-08-07 12:26","0.000000",,,"3084480.000000","4232040.000000","121860"
"10055","10157","金星秀：岳岳算错账遭客人辱骂","1899","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","3840",,"2017-08-07 13:36","2017-08-07 13:36","0.000000","国语","大陆","3088680.000000","4232040.000000","121860"
"10055","10157","金星秀：张一山挑战演技演少女","1900","1","精彩点","精彩点",,"2","0","7680",,"2017-08-07 14:40","2017-08-07 14:40","0.000000",,,"3092520.000000","4232040.000000","121860"
"10055","10157","金星秀：揭秘网红模特发家史","1901","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","2100",,"2017-08-06 15:15","2017-08-06 15:15","0.000000","国语","大陆","3008220.000000","4232040.000000","121860"
"10055","10157","金星秀：沈南变“庄周”遭遇奇葩队友","1905","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","4080",,"2017-08-04 18:24","2017-08-04 18:24","0.000000","国语","大陆","2846760.000000","4232040.000000","121860"
"10055","10157","金星秀：荒唐弱智的五行币骗局","1911","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","2100",,"2017-08-07 13:01","2017-08-07 13:01","0.000000","国语","大陆","3086580.000000","4232040.000000","121860"
"10055","10157","金星秀：金星扔鸡蛋砸车破谣言","1913","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","4440",,"2017-08-06 15:50","2017-08-06 15:50","0.000000","国语","大陆","3010320.000000","4232040.000000","121860"
"10055","10157","金星秀：金星追问邓紫棋爱情史","1915","1","精彩点/综艺娱乐","精彩点","综艺娱乐","2","21","4080",,"2017-08-04 17:16","2017-08-04 17:16","0.000000","国语","大陆","2842680.000000","4232040.000000","121860"
"10056","10337","十万个冷笑话 第三季","332","2","动漫剧场/综艺娱乐","动漫剧场","综艺娱乐","6","21","480",,"2017-09-23 07:32","2017-09-23 07:40","480.000000","国语","大陆","2580.000000","481380.000000","2040"
"10056","10337","捷德奥特曼","921","7","动漫剧场/日韩剧场","动漫剧场","日韩剧场","6","16","1440",,"2017-09-23 06:57","2017-09-28 20:40","481380.000000","日语","日本","481380.000000","481380.000000","2040"
"10056","10337","精灵梦叶罗丽 第五季","1543","3","动漫剧场/大陆剧场","动漫剧场","大陆剧场","6","11","120",,"2017-09-23 07:23","2017-09-23 07:31","480.000000","国语","大陆","2040.000000","481380.000000","2040"
"10058","11000","72家房客：物归原主","19","1","免费睇","免费睇",,"4","0","1500",,"2017-09-03 09:23","2017-09-03 09:23","0.000000",,,"5012280.000000","5468460.000000","8760"
"10058","11000","72家房客：特殊老鸨","20","1","免费睇","免费睇",,"4","0","1260",,"2017-09-03 09:02","2017-09-03 09:02","0.000000",,,"5011020.000000","5468460.000000","8760"
"10058","11000","72家房客：真假孝心","22","1","免费睇","免费睇",,"4","0","2220",,"2017-09-03 09:48","2017-09-03 09:48","0.000000",,,"5013780.000000","5468460.000000","8760"
"10058","11000","兔侠传奇","261","2","免费睇","免费睇",,"4","0","2820",,"2017-07-08 18:42","2017-07-08 19:50","4080.000000",,,"125100.000000","5468460.000000","8760"
"10058","11000","机器人的崛起","1058","1","免费睇","免费睇",,"4","0","720",,"2017-09-08 16:06","2017-09-08 16:06","0.000000",,,"5468460.000000","5468460.000000","8760"
"10058","11000","轻睐演唱会","1835","1","热门影视/综艺娱乐","热门影视","综艺娱乐","8","21","240",,"2017-07-07 09:05","2017-07-07 09:05","0.000000","国语","大陆","0.000000","5468460.000000","8760"
"10059","10704","乐高城市组","138","3","精彩点/大陆剧场","精彩点","大陆剧场","2","11","540",,"2017-08-09 11:51","2017-08-09 12:12","1260.000000","国语","大陆","1639200.000000","1640700.000000","3600"
"10059","10704","巨神战击队第三季","703","3","精彩点/电视剧场","精彩点","电视剧场","2","12","2640",,"2017-08-09 12:14","2017-08-09 12:37","1380.000000","国语","大陆","1640700.000000","1640700.000000","3600"
"10059","10704","熊出没之冬日乐翻天","1273","6","精彩点/大陆剧场","精彩点","大陆剧场","2","11","360",,"2017-08-09 09:01","2017-08-09 11:46","9900.000000","国语","大陆","1637640.000000","1640700.000000","3600"
"10059","10704","阿优","1938","5","精彩点/电视剧场","精彩点","电视剧场","2","12","60",,"2017-07-21 12:52","2017-07-21 13:15","1380.000000","国语","大陆","1380.000000","1640700.000000","3600"
"10061","10568","玩具总动员","1394","1","免费睇","免费睇",,"4","0","1320",,"2017-08-10 08:25","2017-08-10 08:25","0.000000",,,"0.000000","2760.000000","1440"
"10061","10568","辛普森一家 第28季","1840","1","动漫剧场/欧美剧场","动漫剧场","欧美剧场","6","13","120",,"2017-08-10 09:11","2017-08-10 09:11","0.000000","英语","美国","2760.000000","2760.000000","1440"
"10064","10645","人民的名义","191","4","精彩点/大陆剧场","精彩点","大陆剧场","2","11","5872.16","20170806","2017-08-06 00:00","2017-08-07 00:00","86400.000000","国语","大陆","86400.000000","86400.000000","5872.16"
